Time,Acceleration,Velocity,Altitude,Ap_pred,A
0.0100,390.0000,3.9000,0.0390,0.0000,0.2500
0.0200,390.0000,7.8000,0.1170,0.0000,0.2500
0.0300,389.0000,11.6900,0.2339,0.0000,0.2500
0.0400,389.0000,15.5800,0.3897,0.0000,0.2500
0.0500,389.0000,19.4700,0.5844,0.0000,0.2500
0.0600,388.0000,23.3500,0.8179,0.0000,0.2500
0.0700,388.0000,27.2300,1.0902,0.0000,0.2500
0.0800,387.0000,31.1000,1.4012,0.0000,0.2500
0.0900,387.0000,34.9700,1.7509,0.0000,0.2500
0.1000,386.0000,38.8300,2.1392,0.0000,0.2500
0.1100,385.0000,42.6800,2.5660,0.0000,0.2500
0.1200,384.0000,46.5200,3.0312,0.0000,0.2500
0.1300,383.0000,50.3500,3.5347,0.0000,0.2500
0.1400,381.0000,54.1600,4.0763,0.0000,0.2500
0.1500,380.0000,57.9600,4.6559,0.0000,0.2500
0.1600,379.0000,61.7500,5.2734,0.0000,0.2500
0.1700,377.0000,65.5200,5.9286,0.0000,0.2500
0.1800,376.0000,69.2800,6.6214,0.0000,0.2500
0.1900,374.0000,73.0200,7.3516,0.0000,0.2500
0.2000,372.0000,76.7400,8.1190,0.0000,0.2500
0.2100,371.0000,80.4500,8.9235,0.0000,0.2500
0.2200,369.0000,84.1400,9.7649,0.0000,0.2500
0.2300,367.0000,87.8100,10.6430,0.0000,0.2500
0.2400,365.0000,91.4600,11.5576,0.0000,0.2500
0.2500,363.0000,95.0900,12.5085,0.0000,0.2500
0.2600,360.0000,98.6900,13.4954,0.0000,0.2500
0.2700,358.0000,102.2700,14.5181,0.0000,0.2500
0.2800,356.0000,105.8300,15.5764,0.0000,0.2500
0.2900,353.0000,109.3600,16.6700,0.0000,0.2500
0.3000,351.0000,112.8700,17.7987,0.0000,0.2500
0.3100,349.0000,116.3600,18.9623,0.0000,0.2500
0.3200,346.0000,119.8200,20.1605,0.0000,0.2500
0.3300,343.0000,123.2500,21.3930,0.0000,0.2500
0.3400,341.0000,126.6600,22.6596,0.0000,0.2500
0.3500,338.0000,130.0400,23.9600,0.0000,0.2500
0.3600,335.0000,133.3900,25.2939,0.0000,0.2500
0.3700,332.0000,136.7100,26.6610,0.0000,0.2500
0.3800,329.0000,140.0000,28.0610,0.0000,0.2500
0.3900,326.0000,143.2600,29.4936,0.0000,0.2500
0.4000,323.0000,146.4900,30.9585,0.0000,0.2500
0.4100,320.0000,149.6900,32.4554,0.0000,0.2500
0.4200,317.0000,152.8600,33.9840,0.0000,0.2500
0.4300,314.0000,156.0000,35.5440,0.0000,0.2500
0.4400,311.0000,159.1100,37.1351,0.0000,0.2500
0.4500,308.0000,162.1900,38.7570,0.0000,0.2500
0.4600,305.0000,165.2400,40.4094,0.0000,0.2500
0.4700,301.0000,168.2500,42.0919,0.0000,0.2500
0.4800,298.0000,171.2300,43.8042,0.0000,0.2500
0.4900,295.0000,174.1800,45.5460,0.0000,0.2500
0.5000,292.0000,177.1000,47.3170,0.0000,0.2500
0.5100,288.0000,179.9800,49.1168,0.0000,0.2500
0.5200,285.0000,182.8300,50.9451,0.0000,0.2500
0.5300,282.0000,185.6500,52.8016,0.0000,0.2500
0.5400,278.0000,188.4300,54.6859,0.0000,0.2500
0.5500,275.0000,191.1800,56.5977,0.0000,0.2500
0.5600,272.0000,193.9000,58.5367,0.0000,0.2500
0.5700,268.0000,196.5800,60.5025,0.0000,0.2500
0.5800,265.0000,199.2300,62.4948,0.0000,0.2500
0.5900,261.0000,201.8400,64.5132,0.0000,0.2500
0.6000,258.0000,204.4200,66.5574,0.0000,0.2500
0.6100,255.0000,206.9700,68.6271,0.0000,0.2500
0.6200,251.0000,209.4800,70.7219,0.0000,0.2500
0.6300,248.0000,211.9600,72.8415,0.0000,0.2500
0.6400,244.0000,214.4000,74.9855,0.0000,0.2500
0.6500,241.0000,216.8100,77.1536,0.0000,0.2500
0.6600,238.0000,219.1900,79.3455,0.0000,0.2500
0.6700,234.0000,221.5300,81.5608,0.0000,0.2500
0.6800,231.0000,223.8400,83.7992,0.0000,0.2500
0.6900,228.0000,226.1200,86.0604,0.0000,0.2500
0.7000,224.0000,228.3600,88.3440,0.0000,0.2500
0.7100,221.0000,230.5700,90.6497,0.0000,0.2500
0.7200,218.0000,232.7500,92.9772,0.0000,0.2500
0.7300,215.0000,234.9000,95.3262,0.0000,0.2500
0.7400,211.0000,237.0100,97.6963,0.0000,0.2500
0.7500,208.0000,239.0900,100.0872,0.0000,0.2500
0.7600,205.0000,241.1400,102.4986,0.0000,0.2500
0.7700,202.0000,243.1600,104.9302,0.0000,0.2500
0.7800,199.0000,245.1500,107.3817,0.0000,0.2500
0.7900,195.0000,247.1000,109.8527,0.0000,0.2500
0.8000,192.0000,249.0200,112.3429,0.0000,0.2500
0.8100,189.0000,250.9100,114.8520,0.0000,0.2500
0.8200,186.0000,252.7700,117.3797,0.0000,0.2500
0.8300,183.0000,254.6000,119.9257,0.0000,0.2500
0.8400,180.0000,256.4000,122.4897,0.0000,0.2500
0.8500,177.0000,258.1700,125.0714,0.0000,0.2500
0.8600,174.0000,259.9100,127.6705,0.0000,0.2500
0.8700,171.0000,261.6200,130.2867,0.0000,0.2500
0.8800,168.0000,263.3000,132.9197,0.0000,0.2500
0.8900,166.0000,264.9600,135.5693,0.0000,0.2500
0.9000,163.0000,266.5900,138.2352,0.0000,0.2500
0.9100,160.0000,268.1900,140.9171,0.0000,0.2500
0.9200,157.0000,269.7600,143.6147,0.0000,0.2500
0.9300,154.0000,271.3000,146.3277,0.0000,0.2500
0.9400,152.0000,272.8200,149.0559,0.0000,0.2500
0.9500,149.0000,274.3100,151.7990,0.0000,0.2500
0.9600,146.0000,275.7700,154.5567,0.0000,0.2500
0.9700,144.0000,277.2100,157.3288,0.0000,0.2500
0.9800,141.0000,278.6200,160.1150,0.0000,0.2500
0.9900,139.0000,280.0100,162.9151,0.0000,0.2500
1.0000,136.0000,281.3700,165.7288,0.0000,0.2500
1.0100,134.0000,282.7100,168.5559,0.0000,0.2500
